Date,Open,High,Low,Close,Adj Close,Volume
1996-01-01,3.030000,3.030000,2.925000,2.980000,0.595425,350000
1996-01-02,2.980000,3.025000,2.950000,2.975000,0.594426,412000
1996-01-03,2.975000,2.995000,2.950000,2.985000,0.596424,284000
1996-01-04,2.985000,2.980000,2.940000,2.965000,0.592428,282000
1996-01-05,2.965000,2.980000,2.950000,2.960000,0.591429,189000
1996-01-08,2.960000,2.950000,2.910000,2.925000,0.584436,237000
1996-01-09,2.925000,2.925000,2.800000,2.830000,0.565454,483000
1996-01-10,2.830000,2.865000,2.810000,2.840000,0.567452,226000
1996-01-11,2.840000,2.880000,2.800000,2.830000,0.565454,318000
1996-01-12,2.830000,2.835000,2.800000,2.825000,0.564455,431000
1996-01-15,2.825000,2.815000,2.775000,2.790000,0.557462,181000
1996-01-16,2.790000,2.800000,2.740000,2.740000,0.547471,358000
1996-01-17,2.740000,2.795000,2.630000,2.655000,0.530488,429000
1996-01-18,2.655000,2.655000,2.600000,2.640000,0.527491,330000
1996-01-19,2.640000,2.630000,2.535000,2.555000,0.510507,426000
1996-01-22,2.555000,2.590000,2.520000,2.545000,0.508509,359000
1996-01-23,2.545000,2.600000,2.510000,2.530000,0.505512,399000
1996-01-24,2.530000,2.530000,2.450000,2.465000,0.492524,449000
1996-01-25,2.465000,2.450000,2.410000,2.435000,0.486530,390000
1996-01-26,null,null,null,null,null,null
1996-01-29,2.435000,2.495000,2.395000,2.485000,0.496520,311000
1996-01-30,2.485000,2.550000,2.485000,2.520000,0.503514,452000
1996-01-31,2.520000,2.635000,2.550000,2.590000,0.517500,344000
1996-02-01,2.590000,2.800000,2.600000,2.780000,0.555463,424000
1996-02-02,2.780000,2.995000,2.800000,2.915000,0.582438,819000
1996-02-05,2.915000,3.100000,2.950000,2.995000,0.598422,906000
1996-02-06,2.995000,3.050000,2.950000,2.975000,0.594426,888000
1996-02-07,2.975000,2.925000,2.825000,2.865000,0.572447,586000
1996-02-08,2.865000,3.150000,2.885000,3.045000,0.608412,667000
1996-02-09,3.045000,3.655000,3.350000,3.650000,0.729296,1720000
1996-02-12,3.650000,3.795000,3.450000,3.510000,0.701323,2851000
1996-02-13,3.600000,3.600000,3.325000,3.450000,0.689334,1451000
1996-02-14,3.450000,3.800000,3.590000,3.710000,0.741284,2464000
1996-02-15,3.710000,3.770000,3.670000,3.685000,0.736289,1191000
1996-02-16,3.685000,3.675000,3.510000,3.560000,0.711313,1396000
1996-02-19,3.560000,3.650000,3.500000,3.515000,0.702322,1297000
1996-02-20,3.515000,3.515000,3.305000,3.365000,0.672351,1361000
1996-02-21,null,null,null,null,null,null
1996-02-22,3.365000,3.475000,3.400000,3.425000,0.684339,848000
1996-02-23,3.425000,3.500000,3.400000,3.420000,0.683340,687000
1996-02-26,3.420000,3.475000,3.375000,3.385000,0.676347,647000
1996-02-27,3.390000,3.425000,3.300000,3.395000,0.678345,841000
1996-02-28,3.395000,3.445000,3.305000,3.325000,0.664358,422000
1996-02-29,3.300000,3.300000,3.000000,3.065000,0.612409,1275000
1996-03-01,3.065000,3.150000,3.000000,3.110000,0.621400,732000
1996-03-04,3.110000,3.100000,3.050000,3.065000,0.612409,647000
1996-03-05,null,null,null,null,null,null
1996-03-06,3.065000,3.150000,3.080000,3.100000,0.619402,360000
1996-03-07,3.100000,3.150000,3.025000,3.060000,0.611409,486000
1996-03-08,3.060000,3.070000,3.000000,3.050000,0.609411,387000
1996-03-11,3.050000,3.045000,2.975000,2.995000,0.598422,324000
1996-03-12,2.995000,2.995000,2.930000,2.955000,0.590430,400000
1996-03-13,2.955000,3.100000,3.000000,3.080000,0.615406,486000
1996-03-14,3.080000,3.150000,3.045000,3.070000,0.613408,529000
1996-03-15,3.100000,3.100000,3.000000,3.000000,0.599421,807000
1996-03-18,3.000000,3.025000,2.930000,2.985000,0.596424,388000
1996-03-19,2.985000,3.000000,2.900000,2.955000,0.590430,617000
1996-03-20,null,null,null,null,null,null
1996-03-21,2.955000,3.015000,2.950000,3.005000,0.600420,643000
1996-03-22,3.005000,3.020000,2.935000,2.995000,0.598422,194000
1996-03-25,2.995000,3.050000,2.980000,3.025000,0.604416,413000
1996-03-26,3.025000,3.080000,2.980000,3.045000,0.608412,643000
1996-03-27,3.045000,3.110000,3.030000,3.100000,0.619402,795000
1996-03-28,3.100000,3.275000,3.130000,3.210000,0.641381,1124000
1996-03-29,3.210000,3.310000,3.200000,3.245000,0.648374,1356000
1996-04-01,3.245000,3.300000,3.240000,3.290000,0.657365,963000
1996-04-02,3.290000,3.450000,3.280000,3.400000,0.679344,1835000
1996-04-03,3.400000,3.600000,3.400000,3.490000,0.697327,2082000
1996-04-04,3.490000,3.455000,3.350000,3.405000,0.680343,1134000
1996-04-05,null,null,null,null,null,null
1996-04-08,3.405000,3.470000,3.410000,3.450000,0.689334,925000
1996-04-09,3.450000,3.460000,3.355000,3.385000,0.676347,1219000
1996-04-10,3.385000,3.460000,3.240000,3.285000,0.656366,904000
1996-04-11,3.250000,3.340000,3.250000,3.335000,0.666357,631000
1996-04-12,3.335000,3.385000,3.280000,3.350000,0.669354,564000
1996-04-15,3.410000,3.455000,3.375000,3.425000,0.684339,988000
1996-04-16,3.420000,3.435000,3.360000,3.375000,0.674349,783000
1996-04-17,3.375000,3.525000,3.425000,3.505000,0.700324,1546000
1996-04-18,3.550000,3.695000,3.505000,3.655000,0.730295,2706000
1996-04-19,3.700000,4.025000,3.625000,3.845000,0.768258,6350000
1996-04-22,4.000000,4.100000,3.705000,3.770000,0.753273,5643000
1996-04-23,3.770000,3.790000,3.630000,3.710000,0.741284,3214000
1996-04-24,3.895000,4.050000,3.800000,3.845000,0.768258,5343000
1996-04-25,3.900000,3.900000,3.610000,3.685000,0.736289,3333000
1996-04-26,3.685000,3.795000,3.625000,3.700000,0.739286,2039000
1996-04-29,3.700000,3.735000,3.640000,3.685000,0.736289,1350000
1996-04-30,3.685000,3.700000,3.505000,3.545000,0.708316,2701000
1996-05-01,3.545000,3.775000,3.610000,3.625000,0.724300,1662000
1996-05-02,3.680000,3.680000,3.545000,3.565000,0.712312,1170000
1996-05-03,3.565000,3.570000,3.490000,3.500000,0.699325,1779000
1996-05-06,3.500000,3.500000,3.350000,3.380000,0.675348,1360000
1996-05-07,3.380000,3.440000,3.350000,3.415000,0.682341,1821000
1996-05-08,3.200000,3.500000,3.200000,3.485000,0.696327,1617000
1996-05-09,3.485000,3.495000,3.380000,3.405000,0.680343,1115000
1996-05-10,3.405000,3.395000,3.240000,3.385000,0.676347,1371000
1996-05-13,3.385000,3.425000,3.350000,3.420000,0.683340,712000
1996-05-14,3.485000,3.485000,3.375000,3.425000,0.684339,1192000
1996-05-15,3.425000,3.500000,3.400000,3.480000,0.695328,1608000
1996-05-16,3.480000,3.670000,3.515000,3.575000,0.714310,2671000
1996-05-17,3.550000,3.550000,3.475000,3.530000,0.705319,1385000
1996-05-20,3.475000,3.480000,3.400000,3.405000,0.680343,933000
1996-05-21,3.400000,3.400000,3.325000,3.335000,0.666357,1644000
1996-05-22,3.335000,3.420000,3.370000,3.375000,0.674349,645000
1996-05-23,3.400000,3.400000,3.335000,3.350000,0.669354,361000
1996-05-24,3.350000,3.400000,3.350000,3.385000,0.676347,473000
1996-05-27,3.385000,3.385000,3.325000,3.340000,0.667355,1362000
1996-05-28,3.340000,3.400000,3.300000,3.390000,0.677346,1390000
1996-05-29,3.390000,3.450000,3.395000,3.445000,0.688335,1314000
1996-05-30,3.500000,3.500000,3.375000,3.410000,0.681342,804000
1996-05-31,3.410000,3.430000,3.370000,3.415000,0.682341,486000
1996-06-03,3.415000,3.500000,3.415000,3.450000,0.689334,766000
1996-06-04,3.450000,3.475000,3.375000,3.400000,0.679344,1698000
1996-06-05,3.400000,3.450000,3.390000,3.405000,0.680343,437000
1996-06-06,3.445000,3.460000,3.405000,3.435000,0.686337,622000
1996-06-07,3.420000,3.445000,3.405000,3.435000,0.686337,405000
1996-06-10,3.465000,3.465000,3.425000,3.440000,0.687336,860000
1996-06-11,3.470000,3.470000,3.400000,3.430000,0.685338,1054000
1996-06-12,3.450000,3.545000,3.440000,3.510000,0.701323,1657000
1996-06-13,3.510000,3.880000,3.500000,3.875000,0.774252,7320000
1996-06-14,3.925000,4.170000,3.925000,4.045000,0.808220,9036000
1996-06-17,4.050000,4.130000,3.850000,3.870000,0.773253,6812000
1996-06-18,3.850000,3.900000,3.750000,3.830000,0.765261,4708000
1996-06-19,3.935000,3.950000,3.775000,3.800000,0.759267,3422000
1996-06-20,3.750000,3.800000,3.700000,3.765000,0.752274,2981000
1996-06-21,3.700000,3.765000,3.655000,3.680000,0.735290,2364000
1996-06-24,3.710000,3.710000,3.600000,3.660000,0.731294,1931000
1996-06-25,3.675000,3.680000,3.610000,3.640000,0.727298,4000000
1996-06-26,3.850000,4.025000,3.850000,3.915000,0.782244,14061000
1996-06-27,3.910000,3.945000,3.805000,3.930000,0.785242,7982000
1996-06-28,3.960000,4.050000,3.910000,3.990000,0.797230,14959000
1996-07-01,4.010000,4.025000,3.875000,3.905000,0.780246,11334000
1996-07-02,3.925000,3.980000,3.875000,3.895000,0.778248,6039000
1996-07-03,3.875000,3.900000,3.830000,3.855000,0.770256,7855000
1996-07-04,3.830000,3.910000,3.775000,3.860000,0.771255,9477000
1996-07-05,3.855000,3.910000,3.850000,3.855000,0.770256,3069000
1996-07-08,3.930000,3.930000,3.855000,3.875000,0.774252,1927000
1996-07-09,3.875000,3.880000,3.820000,3.835000,0.766260,3414000
1996-07-10,3.810000,3.850000,3.775000,3.830000,0.765261,3917000
1996-07-11,3.825000,3.865000,3.825000,3.830000,0.765261,1296000
1996-07-12,3.815000,3.840000,3.780000,3.820000,0.763263,1200000
1996-07-15,3.810000,3.845000,3.775000,3.830000,0.765261,2558000
1996-07-16,3.825000,3.875000,3.770000,3.805000,0.760266,3377000
1996-07-17,3.795000,3.800000,3.620000,3.770000,0.753273,5582000
1996-07-18,3.750000,3.795000,3.705000,3.740000,0.747278,2085000
1996-07-19,3.750000,3.775000,3.700000,3.760000,0.751274,2348000
1996-07-22,3.825000,3.825000,3.710000,3.750000,0.749276,863000
1996-07-23,3.755000,3.755000,3.655000,3.680000,0.735290,3695000
1996-07-24,3.660000,3.660000,3.475000,3.620000,0.723301,6060000
1996-07-25,3.600000,3.650000,3.580000,3.610000,0.721303,2542000
1996-07-26,3.580000,3.670000,3.565000,3.630000,0.725299,6639000
1996-07-29,3.650000,3.845000,3.615000,3.620000,0.723301,4140000
1996-07-30,3.600000,3.600000,3.290000,3.535000,0.706318,12399000
1996-07-31,3.460000,3.550000,3.355000,3.520000,0.703321,2970000
1996-08-01,3.550000,3.570000,3.500000,3.550000,0.709315,1097000
